DHSID,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,BUFF_DIST,intersect_count,area_overlap,percent_overlap,area_by_count,nearest_concession,area_overlap_dissolved,percent_overlap_dissolved,total_dist,avg_dist
LB200900000107,2009,U,6.302866,-10.800256,9999,18,WGS84,2000,0,0,0,0,573,10434.04565,823.2010007,88418995,148354.0185
LB200900000108,2009,U,6.302799,-10.800261,9999,12,WGS84,2000,0,0,0,0,573,10399.39468,820.4672886,88420481,148356.5117
LB200900000104,2009,U,6.328811,-10.796716,9999,5,WGS84,2000,0,0,0,0,155,10328.91227,814.8666761,87795386,147307.6946
LB200900000117,2009,R,6.45882,-10.785772,9999,11,WGS84,5000,2,6354.897455,80.92099539,3177,530,9599.764261,121.0970829,,
LB200900000106,2009,U,6.331658,-10.798669,9999,5,WGS84,2000,0,0,0,0,155,9145.802945,721.5251517,87816613,147343.3104
LB201100000038,2011,R,6.876901,-11.217633,9999,28,WGS84,5000,4,10655.14802,135.6081662,2664,552,7857.305586,100,,
LB201300000076,2013,R,6.729619,-11.138243,68,32,WGS84,5000,4,14226.50324,181.0796164,3557,68,7856.4907,99.9999999,,
LB198600000304,1986,R,6.8,-11.05,9999,63,WGS84,5000,3,9402.398225,119.6902476,3134,461,7855.609305,100,,
LB201300000175,2013,R,6.743656,-10.963111,36,29,WGS84,5000,10,11436.3424,145.5971781,1144,55,7854.764605,99.99976579,,
LB201100000008,2011,R,6.711141,-10.906878,9999,31,WGS84,5000,3,12192.78779,155.2377544,4064,55,7854.267049,100,,
LB198600000317,1986,R,6.6833,-10.8833,9999,42,WGS84,5000,3,9101.1205,115.8779731,3034,55,7854.055651,99.99999995,,
LB200700000187,2007,R,7.055888435,-10.85108743,58,97,WGS84,5000,10,13836.06786,176.1713283,1384,461,7853.756909,100.0000001,,
LB201300000002,2013,R,7.202095,-10.840747,111,112,WGS84,5000,4,8627.460689,109.8527236,2157,553,7853.659024,99.99997275,,
LB200700000037,2007,R,7.047203498,-10.83271868,0,104,WGS84,5000,2,13522.90012,172.187352,6761,461,7853.596655,99.99999998,,
LB201300000187,2013,R,7.17044,-10.800824,118,116,WGS84,5000,4,7893.638623,100.5134272,1973,567,7853.316145,99.99998204,,
LB200700000208,2007,R,6.501147438,-10.76335926,55,34,WGS84,5000,1,7853.021726,100,7853,530,7853.021723,100,,
LB200700000038,2007,R,7.045994249,-10.76450374,0,170,WGS84,5000,4,11270.31836,143.5158228,2818,461,7853.014483,99.99999986,,
LB201300000059,2013,R,7.047952,-10.751916,146,148,WGS84,5000,4,11370.63126,144.7951405,2843,461,7852.909449,100.0000001,,
LB200700000015,2007,R,6.456550289,-10.7489611,-84,14,WGS84,5000,6,7910.272616,100.730556,1318,530,7852.902762,99.99999998,,
LB201100000006,2011,R,6.693914,-10.742189,9999,36,WGS84,5000,2,10040.98531,127.8643883,5020,55,7852.83959,100,,
LB201300000231,2013,R,6.49705,-10.740837,55,49,WGS84,5000,1,7852.834144,99.99999982,7853,530,7852.834146,99.99999984,,
LB200700000237,2007,R,6.779443173,-10.72545336,74,76,WGS84,5000,3,12497.44859,159.148444,4166,460,7852.699202,100,,
LB200700000128,2007,R,6.604612475,-10.71361465,99,34,WGS84,5000,4,15679.54979,199.6731624,3920,6,7852.607525,99.99999987,,
LB200700000105,2007,R,7.071546714,-10.71494353,0,158,WGS84,5000,2,9549.3964,121.6080127,4775,461,7852.60459,99.99999989,,
LB201300000058,2013,R,7.134536,-10.697678,110,111,WGS84,5000,2,8464.21993,107.7906381,4232,461,7852.462958,100,,
LB201300000003,2013,R,6.670165,-10.693965,53,54,WGS84,5000,3,9961.677422,126.8608115,3321,55,7852.446548,99.99999992,,
LB201300000122,2013,R,6.503406,-10.670638,38,40,WGS84,5000,7,9654.953085,122.9575623,1379,530,7852.264556,99.99999999,,
LB201300000255,2013,R,6.644114,-10.627135,60,71,WGS84,5000,3,11494.70118,146.393511,3832,6,7851.919872,100.0000001,,
LB201100000009,2011,R,6.607233,-10.625238,9999,80,WGS84,5000,3,15153.47273,192.9910062,5051,6,7851.906177,100.0000001,,
LB201300000281,2013,R,6.657208,-10.558301,86,83,WGS84,5000,3,8041.192796,102.4173297,2680,55,7851.398597,99.99999992,,
LB200700000205,2007,R,6.982048938,-10.54638658,0,163,WGS84,5000,6,18293.72188,233.0023688,3049,6,7851.302951,99.99999985,,
LB200700000199,2007,R,6.98047862,-10.51874886,0,158,WGS84,5000,6,15571.01851,198.3290815,2595,6,7851.102013,99.99999999,,
LB201300000105,2013,R,6.698364,-10.499481,122,121,WGS84,5000,1,7850.970393,100,7851,55,7850.970385,99.9999999,,
LB200700000280,2007,R,5.323968582,-7.507654204,103,101,WGS84,5000,6,22410.90244,285.4547787,3735,66,7850.946681,100.0000001,,
LB200700000125,2007,R,6.623051322,-10.49280144,285,85,WGS84,5000,2,7944.067125,101.1863898,3972,55,7850.924552,99.99999995,,
LB198600000354,1986,R,6.5483,-10.4875,9999,84,WGS84,5000,5,9768.282666,124.4226374,1954,464,7850.88861,100,,
LB198600000224,1986,R,5.3608,-7.5372,9999,121,WGS84,5000,6,18110.15575,230.6809456,3018,489,7850.737598,99.99999989,,
LB201300000313,2013,R,5.446274,-7.530369,113,111,WGS84,5000,4,14672.58663,186.8932669,3668,489,7850.642545,99.99819864,,
LB201300000079,2013,R,6.576299,-10.450023,92,92,WGS84,5000,7,13171.8605,167.7810126,1882,530,7850.62643,100.0000002,,
LB200700000137,2007,R,5.84317441,-7.557744205,185,174,WGS84,5000,5,13690.39936,174.3869536,2738,33,7850.586914,100,,
LB201300000018,2013,R,6.476998,-10.439325,95,99,WGS84,5000,7,23955.57333,305.144968,3422,13,7850.55493,100,,
LB200700000023,2007,R,6.351329566,-10.43531803,45,39,WGS84,5000,4,8122.998811,103.4707062,2031,464,7850.529978,100,,
LB200700000244,2007,R,6.384317825,-10.42284339,29,18,WGS84,5000,8,11924.83253,151.9000924,1491,464,7850.444538,99.99999984,,
LB200700000195,2007,R,6.497359184,-10.40554112,281,86,WGS84,5000,7,28414.9528,361.9588859,4059,13,7850.326088,100.0000002,,
LB201100000022,2011,R,7.097065,-10.394859,9999,290,WGS84,5000,2,12446.51724,158.5494444,6223,6,7850.243371,100.0000001,,
LB201300000043,2013,R,7.046701,-10.390887,188,187,WGS84,5000,3,14078.86381,179.3435999,4693,6,7850.218147,100.0000001,,
LB201300000173,2013,R,5.102101,-7.616922,222,180,WGS84,5000,3,15899.55707,202.5369708,5300,75,7850.1999,100.0000001,,
LB201100000140,2011,R,5.436782,-7.622722,9999,158,WGS84,5000,3,15702.29408,200.0252307,5234,94,7850.156704,99.99999985,,
LB201100000086,2011,R,4.540838,-7.627577,9999,40,WGS84,5000,2,10947.70416,139.4587614,5474,220,7850.137253,100.0000001,,
LB201300000017,2013,R,5.68597,-7.626624,136,153,WGS84,5000,5,16663.58824,212.2715674,3333,92,7850.127291,100,,
LB201100000071,2011,R,6.409153,-10.361971,9999,98,WGS84,5000,7,20643.03786,262.967261,2949,464,7850.041014,99.99999995,,
LB200700000071,2007,R,6.452682941,-10.36016157,104,106,WGS84,5000,4,24480.02179,311.8462764,6120,13,7850.028572,100,,
LB198600000372,1986,R,6.5333,-10.35,9999,99,WGS84,5000,5,24229.42037,308.6565426,4846,13,7849.961697,100,,
LB198600000373,1986,R,6.5333,-10.35,9999,99,WGS84,5000,5,24229.42037,308.6565426,4846,13,7849.961697,100,,
LB200700000074,2007,R,4.528561777,-7.658901034,37,51,WGS84,5000,2,9922.624604,126.4039235,4961,220,7849.934034,100.0000001,,
LB201100000013,2011,R,6.925542,-10.330997,9999,142,WGS84,5000,3,17895.99677,227.9793083,5965,6,7849.833783,99.99999994,,
LB201300000042,2013,R,5.019755,-7.675279,212,86,WGS84,5000,2,7872.499031,100.2888667,3936,75,7849.823531,100.0000003,,
LB201300000276,2013,R,6.580273,-10.324853,106,101,WGS84,5000,5,19132.01165,243.7260701,3826,13,7849.801057,99.99999991,,
LB201100000142,2011,R,5.201622,-7.682278,9999,106,WGS84,5000,4,9940.046307,126.6283918,2485,66,7849.776946,99.99999999,,
LB198600000407,1986,R,4.4833,-7.6917,9999,37,WGS84,5000,2,7850.013806,100.0036586,3925,220,7849.726619,100,,
LB201300000177,2013,R,7.766086,-10.312899,431,441,WGS84,5000,2,10453.43914,133.1698393,5227,580,7849.7047,99.99999993,,
LB201100000072,2011,R,6.511778,-10.306281,9999,101,WGS84,5000,4,19507.42136,248.5121211,4877,70,7849.68607,99.99999994,,
LB201100000083,2011,R,4.842775,-7.698737,9999,60,WGS84,5000,4,20334.40039,259.0475569,5084,30,7849.678507,100,,
LB201300000161,2013,R,6.560904,-10.296929,118,116,WGS84,5000,5,20987.78625,267.3730247,4198,13,7849.627409,99.99999988,,
LB200700000263,2007,R,4.773707827,-7.71335994,107,100,WGS84,5000,4,23169.9264,295.1737572,5792,30,7849.58887,99.99999999,,
LB200700000024,2007,R,6.487588242,-10.27706524,79,106,WGS84,5000,4,18119.97407,230.8421903,4530,70,7849.507066,99.99999984,,
LB201300000235,2013,R,6.676204,-10.26724,116,110,WGS84,5000,12,14993.8352,191.0177807,1249,13,7849.444786,100.0000002,,
LB201300000254,2013,R,4.934642,-7.744272,215,96,WGS84,5000,2,7910.744079,100.7815239,3955,57,7849.399149,99.99999999,,
LB200700000098,2007,R,8.295488759,-10.23486402,493,485,WGS84,5000,3,14627.24297,186.3526936,4876,84,7849.225407,100,,
LB200700000197,2007,R,6.562431279,-10.22393058,114,115,WGS84,5000,5,21403.91856,272.6895137,4281,13,7849.190186,99.99999994,,
LB201100000082,2011,R,4.477381,-7.737504,9999,21,WGS84,5000,1,7849.183664,99.9966716,7849,220,7849.183665,99.99667162,,
LB201300000295,2013,R,8.338797,-10.222943,464,462,WGS84,5000,3,10104.06027,128.7279911,3368,69,7849.155558,99.99999999,,
LB198600000223,1986,R,5.1967,-7.79,9999,200,WGS84,5000,4,23148.6408,294.9199467,5787,47,7849.12688,100,,
LB201300000219,2013,R,8.387285,-10.212814,441,446,WGS84,5000,1,7849.096546,99.99999992,7849,69,7849.096556,100,,
LB201300000085,2013,R,6.690391,-10.207376,104,105,WGS84,5000,19,12973.21853,165.2830323,683,63,7849.092771,100.0000001,,
LB198600000356,1986,R,7.1,-10.2,9999,206,WGS84,5000,5,17287.24998,220.2465493,3457,6,7849.044646,100,,
LB198600000357,1986,R,7.1,-10.2,9999,206,WGS84,5000,5,17287.24998,220.2465493,3457,6,7849.044646,100,,
LB200700000099,2007,R,4.477212521,-7.767643239,20,18,WGS84,5000,1,7849.013698,99.99679822,7849,220,7849.013694,99.99679817,,
LB198600000306,1986,R,7.54,-10.7867,9999,128,WGS84,5000,2,15697.82312,199.8911742,7849,334,7848.917256,99.94565964,,
LB201300000031,2013,R,6.861303,-10.168705,194,206,WGS84,5000,4,19007.35495,242.1667006,4752,471,7848.872253,100.0000001,,
