"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,127,"LBR","Liberia",1,"Bomi",1,"Klay","",NA,"02","District","District","",""
2,127,"LBR","Liberia",1,"Bomi",2,"Mecca","",NA,"04","District","District","",""
3,127,"LBR","Liberia",2,"Bong",3,"Fuamah","",NA,"02","District","District","",""
4,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh","",NA,"04","District","District","",""
5,127,"LBR","Liberia",2,"Bong",5,"Kokoyah","",NA,"06","District","District","",""
6,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa","",NA,"08","District","District","",""
7,127,"LBR","Liberia",2,"Bong",7,"Salala","",NA,"10","District","District","",""
8,127,"LBR","Liberia",2,"Bong",8,"Sanayea","",NA,"12","District","District","",""
9,127,"LBR","Liberia",2,"Bong",9,"Suakoko","",NA,"14","District","District","",""
10,127,"LBR","Liberia",2,"Bong",10,"Zota","",NA,"16","District","District","",""
11,127,"LBR","Liberia",3,"Gbapolu",11,"Belleh","",NA,"04","District","District","",""
12,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu","",NA,"06","District","District","",""
13,127,"LBR","Liberia",3,"Gbapolu",13,"Bopolu","",NA,"08","District","District","",""
14,127,"LBR","Liberia",3,"Gbapolu",14,"Gbarma","",NA,"10","District","District","",""
15,127,"LBR","Liberia",3,"Gbapolu",15,"Kongba","",NA,"02","District","District","",""
16,127,"LBR","Liberia",4,"Grand Cape Mount",16,"Commnwealth","",NA,"08","District","District","",""
17,127,"LBR","Liberia",4,"Grand Cape Mount",17,"Garwula","",NA,"02","District","District","",""
18,127,"LBR","Liberia",4,"Grand Cape Mount",18,"Golakonneh","",NA,"04","District","District","",""
19,127,"LBR","Liberia",4,"Grand Cape Mount",19,"Porkpa","",NA,"06","District","District","",""
20,127,"LBR","Liberia",4,"Grand Cape Mount",20,"Tewor","",NA,"10","District","District","",""
21,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1","",NA,"04","District","District","",""
22,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2","",NA,"06","District","District","",""
23,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3","",NA,"10","District","District","",""
24,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4","",NA,"12","District","District","",""
25,127,"LBR","Liberia",5,"GrandBassa",25,"Owensgrove","",NA,"02","District","District","",""
26,127,"LBR","Liberia",5,"GrandBassa",26,"Stjohnriver","",NA,"08","District","District","",""
27,127,"LBR","Liberia",6,"GrandGedeh",27,"Gbarzon","",NA,"02","District","District","",""
28,127,"LBR","Liberia",6,"GrandGedeh",28,"Konobo","",NA,"06","District","District","",""
29,127,"LBR","Liberia",6,"GrandGedeh",29,"Tchien","",NA,"08","District","District","",""
30,127,"LBR","Liberia",7,"GrandKru",30,"Buah","",NA,"02","District","District","",""
31,127,"LBR","Liberia",7,"GrandKru",31,"Lower Kru Coast","",NA,"08","District","District","",""
32,127,"LBR","Liberia",7,"GrandKru",32,"Sasstown 180606","",NA,"06","District","District","",""
33,127,"LBR","Liberia",7,"GrandKru",33,"Upperkrucoast","",NA,"04","District","District","",""
34,127,"LBR","Liberia",8,"Lofa",34,"Foya","",NA,"10","District","District","",""
35,127,"LBR","Liberia",8,"Lofa",35,"Kolahun","",NA,"12","District","District","",""
36,127,"LBR","Liberia",8,"Lofa",36,"Lower Kru Coast","",NA,"16","District","District","",""
37,127,"LBR","Liberia",8,"Lofa",37,"Salayea","",NA,"14","District","District","",""
38,127,"LBR","Liberia",8,"Lofa",38,"Voinjama","",NA,"18","District","District","",""
39,127,"LBR","Liberia",8,"Lofa",39,"Zorzor","",NA,"20","District","District","",""
40,127,"LBR","Liberia",9,"Margibi",40,"Firestone","",NA,"02","District","District","",""
41,127,"LBR","Liberia",9,"Margibi",41,"Gibi","",NA,"04","District","District","",""
42,127,"LBR","Liberia",9,"Margibi",42,"Kakata","",NA,"06","District","District","",""
43,127,"LBR","Liberia",9,"Margibi",43,"Mambah-Kaba","",NA,"08","District","District","",""
44,127,"LBR","Liberia",10,"Maryland",44,"Barrobo","",NA,"02","District","District","",""
45,127,"LBR","Liberia",10,"Maryland",45,"Pleebo/Sodeken","",NA,"04","District","District","",""
46,127,"LBR","Liberia",11,"Montserrado",46,"Careysburg","",NA,"02","District","District","",""
47,127,"LBR","Liberia",11,"Montserrado",47,"Greater Monrovia","",NA,"04","District","District","",""
48,127,"LBR","Liberia",11,"Montserrado",48,"St Paul River","",NA,"06","District","District","",""
49,127,"LBR","Liberia",11,"Montserrado",49,"Todee","",NA,"08","District","District","",""
50,127,"LBR","Liberia",12,"Nimba",50,"Gbehlageh","",NA,"02","District","District","",""
51,127,"LBR","Liberia",12,"Nimba",51,"Saclepea","",NA,"04","District","District","",""
52,127,"LBR","Liberia",12,"Nimba",52,"Sanniquelleh-Mahn","",NA,"06","District","District","",""
53,127,"LBR","Liberia",12,"Nimba",53,"Tappita","",NA,"08","District","District","",""
54,127,"LBR","Liberia",12,"Nimba",54,"Yarwein-Mehnsohnne","",NA,"10","District","District","",""
55,127,"LBR","Liberia",12,"Nimba",55,"Zoegeh","",NA,"12","District","District","",""
56,127,"LBR","Liberia",13,"River Cess",56,"Morweh","",NA,"02","District","District","",""
57,127,"LBR","Liberia",13,"River Cess",57,"Timbo","",NA,"04","District","District","",""
58,127,"LBR","Liberia",14,"River Gee",58,"Gbeapo","",NA,"02","District","District","",""
59,127,"LBR","Liberia",14,"River Gee",59,"Webbo","",NA,"04","District","District","",""
60,127,"LBR","Liberia",15,"Sinoe",60,"Butaw","",NA,"02","District","District","",""
61,127,"LBR","Liberia",15,"Sinoe",61,"Dugbe River","",NA,"04","District","District","",""
62,127,"LBR","Liberia",15,"Sinoe",62,"Greenville","",NA,"06","District","District","",""
63,127,"LBR","Liberia",15,"Sinoe",63,"Jaedae Jaedepo","",NA,"08","District","District","",""
64,127,"LBR","Liberia",15,"Sinoe",64,"Juarzon","",NA,"10","District","District","",""
65,127,"LBR","Liberia",15,"Sinoe",65,"Kpayan","",NA,"12","District","District","",""
66,127,"LBR","Liberia",15,"Sinoe",66,"Pyneston","",NA,"14","District","District","",""
